analytic_distribution,analytic_precision,distribution_analytic_account_ids,order_id,sequence,company_id,currency_id,order_partner_id,salesman_id,state,tax_country_id,display_type,is_configurable_product,is_downpayment,is_expense,product_id,product_template_id,product_uom_category_id,product_template_attribute_value_ids,product_custom_attribute_value_ids,product_no_variant_attribute_value_ids,is_product_archived,name,product_uom_qty,product_uom,linked_line_id,linked_line_ids,virtual_id,linked_virtual_id,selected_combo_items,combo_item_id,tax_id,pricelist_item_id,price_unit,technical_price_unit,discount,price_subtotal,price_tax,price_total,price_reduce_taxexcl,price_reduce_taxinc,product_packaging_id,product_packaging_qty,customer_lead,qty_delivered_method,qty_delivered,qty_invoiced,qty_invoiced_posted,qty_to_invoice,analytic_line_ids,invoice_lines,invoice_status,untaxed_amount_invoiced,amount_invoiced,untaxed_amount_to_invoice,amount_to_invoice,product_type,service_tracking,product_updatable,product_uom_readonly,tax_calculation_rounding_method,company_price_include,id,display_name,create_uid,create_date,write_uid,write_date,is_delivery,product_qty,recompute_delivery_price,sale_order_option_ids,purchase_line_ids,purchase_line_count,is_rental,qty_returned,start_date,return_date,reservation_begin,is_product_rentable,route_id,move_ids,virtual_available_at_date,scheduled_date,forecast_expected_date,free_qty_today,qty_available_today,warehouse_id,qty_to_deliver,is_mto,display_qty_widget,is_storable,event_id,event_ticket_id,registration_ids,pos_order_line_ids,available_product_document_ids,product_document_ids,is_service,tracking,reserved_lot_ids,pickedup_lot_ids,returned_lot_ids,unavailable_lot_ids,available_reserved_lots,recurring_invoice,recurring_monthly,parent_line_id,last_invoiced_date,pricelist_id,subscription_start_date,subscription_end_date,next_invoice_date,product_template_variant_value_ids,subscription_plan_id,name_short,shop_warning,amazon_item_ref,amazon_offer_id,planning_slot_ids,planning_hours_planned,planning_hours_to_plan,project_id,task_id,reached_milestones_ids,calendar_booking_ids,calendar_event_id,remaining_hours_available,remaining_hours,has_displayed_warning_upsell,timesheet_ids,delivered_price_subtotal,delivered_price_tax,delivered_price_total,fsm_lot_id
{'27': 100},2,[27],"[69, 'S00069']",1,"[1, 'My Company (San Francisco)']","[1, 'USD']","[10, 'Deco Addict']","[2, 'Mitchell Admin']",sale,"[233, 'United States']",False,False,False,False,"[220, 'Elevator Installation']","[198, 'Elevator Installation']","[3, 'Working Time']",[],[],[],False,Elevator Installation,20.0,"[4, 'Hours']",False,[],False,False,False,False,[1],"[4, 'All Products']",5500.0,5500.0,0.0,110000.0,16500.0,126500.0,5500.0,6325.0,False,0.0,0.0,timesheet,5.0,0.0,0.0,20.0,[],[],to invoice,0.0,0.0,110000.0,126500.0,service,task_global_project,False,True,round_per_line,tax_excluded,127,S00069 - Elevator Installation (Deco Addict),"[1, 'OdooBot']",2025-03-10 17:11:41,"[1, 'OdooBot']",2025-03-10 17:11:41,False,20.0,False,[],[],0,False,0.0,False,False,False,False,False,[],0.0,False,False,0.0,0.0,"[1, 'YourCompany']",15.0,False,False,False,False,False,[],[],[],[],True,none,[],[],[],[],True,False,0.0,False,False,"[2, 'Benelux (USD)']",False,False,False,[],False,Elevator Installation,False,False,False,[],0.0,20.0,False,"[112, 'S00069 - Elevator Installation']",[],[],False,True,15.0,False,[400],27500.0,4125.0,31625.0,False
{'27': 100},2,[27],"[69, 'S00069']",1,"[1, 'My Company (San Francisco)']","[1, 'USD']","[10, 'Deco Addict']","[2, 'Mitchell Admin']",sale,"[233, 'United States']",False,False,False,False,"[222, 'Interior Designing']","[200, 'Interior Designing']","[3, 'Working Time']",[],[],[],False,Interior Designing,15.0,"[4, 'Hours']",False,[],False,False,False,False,[1],"[4, 'All Products']",2500.0,2500.0,0.0,37500.0,5625.0,43125.0,2500.0,2875.0,False,0.0,0.0,milestones,0.0,0.0,0.0,0.0,[],[],no,0.0,0.0,0.0,0.0,service,task_global_project,False,True,round_per_line,tax_excluded,129,S00069 - Interior Designing (Deco Addict),"[1, 'OdooBot']",2025-03-10 17:11:41,"[1, 'OdooBot']",2025-03-10 17:11:41,False,15.0,False,[],[],0,False,0.0,False,False,False,False,False,[],0.0,False,False,0.0,0.0,"[1, 'YourCompany']",15.0,False,False,False,False,False,[],[],[],[],True,none,[],[],[],[],True,False,0.0,False,False,"[2, 'Benelux (USD)']",False,False,False,[],False,Interior Designing,False,False,False,[],0.0,15.0,False,"[113, 'S00069 - Interior Designing']",[],[],False,False,0.0,False,[402],0.0,0.0,0.0,False
{'27': 100},2,[27],"[69, 'S00069']",2,"[1, 'My Company (San Francisco)']","[1, 'USD']","[10, 'Deco Addict']","[2, 'Mitchell Admin']",sale,"[233, 'United States']",False,False,False,False,"[221, 'Solar Panel Installation']","[199, 'Solar Panel Installation']","[3, 'Working Time']",[],[],[],False,Solar Panel Installation,10.0,"[4, 'Hours']",False,[],False,False,False,False,[1],"[4, 'All Products']",4050.0,4050.0,18.0,33210.0,4981.5,38191.5,3321.0,3819.15,False,0.0,0.0,timesheet,4.0,0.0,0.0,4.0,[],[],to invoice,0.0,0.0,13284.0,12526.81,service,task_global_project,False,True,round_per_line,tax_excluded,128,S00069 - Solar Panel Installation (Deco Addict),"[1, 'OdooBot']",2025-03-10 17:11:41,"[1, 'OdooBot']",2025-03-10 17:11:41,False,10.0,False,[],[],0,False,0.0,False,False,False,False,False,[],0.0,False,False,0.0,0.0,"[1, 'YourCompany']",6.0,False,False,False,False,False,[],[],[],[],True,none,[],[],[],[],True,False,0.0,False,False,"[2, 'Benelux (USD)']",False,False,False,[],False,Solar Panel Installation,False,False,False,[],0.0,10.0,False,"[114, 'S00069 - Solar Panel Installation']",[],[],False,False,0.0,False,[401],13284.0,1992.6,15276.6,False
{'27': 100},2,[27],"[69, 'S00069']",2,"[1, 'My Company (San Francisco)']","[1, 'USD']","[10, 'Deco Addict']","[2, 'Mitchell Admin']",sale,"[233, 'United States']",False,False,False,False,"[223, 'Roofing']","[201, 'Roofing']","[3, 'Working Time']",[],[],[],False,Roofing,20.0,"[4, 'Hours']",False,[],False,False,False,False,[1],"[4, 'All Products']",4000.0,4000.0,10.0,72000.0,10800.0,82800.0,3600.0,4140.0,False,0.0,0.0,manual,0.0,0.0,0.0,0.0,[],[],no,0.0,0.0,0.0,0.0,service,task_global_project,False,True,round_per_line,tax_excluded,130,S00069 - Roofing (Deco Addict),"[1, 'OdooBot']",2025-03-10 17:11:41,"[1, 'OdooBot']",2025-03-10 17:11:41,False,20.0,False,[],[],0,False,0.0,False,False,False,False,False,[],0.0,False,False,0.0,0.0,"[1, 'YourCompany']",20.0,False,False,False,False,False,[],[],[],[],True,none,[],[],[],[],True,False,0.0,False,False,"[2, 'Benelux (USD)']",False,False,False,[],False,Roofing,False,False,False,[],0.0,20.0,False,"[115, 'S00069 - Roofing']",[],[],False,False,0.0,False,[403],0.0,0.0,0.0,False
{'5': 100.0},2,[5],"[65, 'S00065']",10,"[1, 'My Company (San Francisco)']","[1, 'USD']","[10, 'Deco Addict']","[2, 'Mitchell Admin']",sale,"[233, 'United States']",False,False,False,False,"[214, 'Motion Sensors']","[192, 'Motion Sensors']","[3, 'Working Time']",[],[],[],False,Motion Sensors,3.0,"[4, 'Hours']",False,[],False,False,False,False,[1],False,65.0,65.0,0.0,195.0,29.25,224.25,65.0,74.75,False,0.0,0.0,manual,3.0,0.0,0.0,3.0,[],[],to invoice,0.0,0.0,195.0,224.25,service,task_global_project,True,True,round_per_line,tax_excluded,108,S00065 - Motion Sensors (Deco Addict),"[1, 'OdooBot']",2025-03-10 17:11:36,"[1, 'OdooBot']",2025-03-10 17:11:41,False,3.0,False,[],[],0,False,0.0,False,False,False,False,False,[],0.0,False,False,0.0,0.0,"[1, 'YourCompany']",0.0,False,False,False,False,False,[],[],[],[],True,none,[],[],[],[],True,True,195.0,False,False,"[2, 'Benelux (USD)']",2025-03-10,2031-03-09,2025-03-10,[],"[1, 'Monthly']",Motion Sensors,False,False,False,[],0.0,3.0,False,"[93, 'S00065 - Motion Sensors']",[],[],False,True,0.0,False,[],195.0,29.25,224.25,False
{'5': 100.0},2,[5],"[65, 'S00065']",10,"[1, 'My Company (San Francisco)']","[1, 'USD']","[10, 'Deco Addict']","[2, 'Mitchell Admin']",sale,"[233, 'United States']",False,False,False,False,"[213, 'Camera Services']","[191, 'Camera Services']","[3, 'Working Time']",[],[],[],False,Security Services,10.0,"[4, 'Hours']",False,[],False,False,False,False,[1],False,75.0,75.0,0.0,750.0,112.5,862.5,75.0,86.25,False,0.0,0.0,manual,7.0,0.0,0.0,10.0,[],[],to invoice,0.0,0.0,750.0,862.5,service,task_global_project,True,True,round_per_line,tax_excluded,109,S00065 - Security Services (Deco Addict),"[1, 'OdooBot']",2025-03-10 17:11:36,"[1, 'OdooBot']",2025-03-10 17:11:41,False,10.0,False,[],[],0,False,0.0,False,False,False,False,False,[],0.0,False,False,0.0,0.0,"[1, 'YourCompany']",3.0,False,False,False,False,False,[],[],[],[],True,none,[],[],[],[],True,True,750.0,False,False,"[2, 'Benelux (USD)']",2025-03-10,2031-03-09,2025-03-10,[],"[1, 'Monthly']",Camera Services,False,False,False,[],0.0,10.0,False,"[94, 'S00065 - Security Services']",[],[],False,True,3.0,False,[],525.0,78.75,603.75,False
{'36': 100},2,[36],"[64, 'S00064']",1,"[1, 'My Company (San Francisco)']","[1, 'USD']","[10, 'Deco Addict']","[2, 'Mitchell Admin']",sale,"[233, 'United States']",False,False,False,False,"[212, 'Renovation Architect (Workspace Template)']","[190, 'Renovation Architect (Workspace Template)']","[3, 'Working Time']",[],[],[],False,Renovation Architect (Workspace Template),30.0,"[4, 'Hours']",False,[],False,False,False,False,[1],"[4, 'All Products']",45.0,45.0,0.0,1350.0,202.5,1552.5,45.0,51.75,False,0.0,0.0,manual,0.0,0.0,0.0,30.0,[],[],to invoice,0.0,0.0,1350.0,1552.5,service,project_only,False,True,round_per_line,tax_excluded,107,S00064 - Renovation Architect (Workspace Template) (Deco Addict),"[1, 'OdooBot']",2025-03-10 17:11:20,"[1, 'OdooBot']",2025-03-10 17:11:41,False,30.0,False,[],[],0,False,0.0,False,False,False,False,False,[],0.0,False,False,0.0,0.0,"[1, 'YourCompany']",30.0,False,False,False,False,False,[],[],[],[],True,none,[],[],[],[],True,False,0.0,False,False,"[2, 'Benelux (USD)']",False,False,False,[],False,Renovation Architect (Workspace Template),False,False,False,[],0.0,30.0,"[12, 'DOC - S00064 - Renovation Architect']",False,[],[],False,True,30.0,False,[],0.0,0.0,0.0,False
{'27': 100},2,[27],"[63, 'S00063']",2,"[1, 'My Company (San Francisco)']","[1, 'USD']","[10, 'Deco Addict']","[2, 'Mitchell Admin']",sale,"[233, 'United States']",False,False,False,False,"[203, 'Painting']","[181, 'Painting']","[3, 'Working Time']",[],[],[],False,Painting,7.0,"[4, 'Hours']",False,[],False,False,False,False,[1],"[4, 'All Products']",1000.0,1000.0,0.0,7000.0,1050.0,8050.0,1000.0,1150.0,False,0.0,0.0,manual,0.0,0.0,0.0,7.0,[],[],to invoice,0.0,0.0,7000.0,8050.0,service,task_global_project,False,True,round_per_line,tax_excluded,103,S00063 - Painting (Deco Addict),"[1, 'OdooBot']",2025-03-10 17:11:04,"[1, 'OdooBot']",2025-03-10 17:11:41,False,7.0,False,[],[],0,False,0.0,False,False,False,False,False,[],0.0,False,False,0.0,0.0,"[1, 'YourCompany']",7.0,False,False,False,False,False,[],[],[],[],True,none,[],[],[],[],True,False,0.0,False,False,"[2, 'Benelux (USD)']",False,False,False,[],False,Painting,False,False,False,[],0.0,7.0,False,"[87, 'S00063 - Painting']",[],[],False,True,7.0,False,[],0.0,0.0,0.0,False
{'27': 100},2,[27],"[63, 'S00063']",2,"[1, 'My Company (San Francisco)']","[1, 'USD']","[10, 'Deco Addict']","[2, 'Mitchell Admin']",sale,"[233, 'United States']",False,False,False,False,"[38, 'Furniture Assembly']","[29, 'Furniture Assembly']","[3, 'Working Time']",[],[],[],False,Furniture Assembly,15.0,"[4, 'Hours']",False,[],False,False,False,False,[1],"[4, 'All Products']",2000.0,2000.0,0.0,30000.0,4500.0,34500.0,2000.0,2300.0,False,0.0,0.0,manual,12.0,0.0,0.0,15.0,[],[],to invoice,0.0,0.0,30000.0,34500.0,service,task_global_project,False,True,round_per_line,tax_excluded,104,S00063 - Furniture Assembly (Deco Addict),"[1, 'OdooBot']",2025-03-10 17:11:04,"[1, 'OdooBot']",2025-03-10 17:11:41,False,15.0,False,[],[],0,False,0.0,False,False,False,False,False,[],0.0,False,False,0.0,0.0,"[1, 'YourCompany']",3.0,False,False,False,False,False,[],[],[],[],True,none,[],[],[],[],True,False,0.0,False,False,"[2, 'Benelux (USD)']",False,False,False,[],False,Furniture Assembly,False,False,False,[],0.0,15.0,False,"[88, 'S00063 - Furniture Assembly']",[],[],False,True,3.0,False,[],24000.0,3600.0,27600.0,False
{'27': 100},2,[27],"[63, 'S00063']",2,"[1, 'My Company (San Francisco)']","[1, 'USD']","[10, 'Deco Addict']","[2, 'Mitchell Admin']",sale,"[233, 'United States']",False,False,False,False,"[204, 'Flooring Services']","[182, 'Flooring Services']","[3, 'Working Time']",[],[],[],False,Flooring Services,10.0,"[4, 'Hours']",False,[],False,False,False,False,[1],"[4, 'All Products']",700.0,700.0,0.0,7000.0,1050.0,8050.0,700.0,805.0,False,0.0,0.0,manual,8.0,0.0,0.0,10.0,[],[],to invoice,0.0,0.0,7000.0,8050.0,service,task_global_project,False,True,round_per_line,tax_excluded,105,S00063 - Flooring Services (Deco Addict),"[1, 'OdooBot']",2025-03-10 17:11:04,"[1, 'OdooBot']",2025-03-10 17:11:41,False,10.0,False,[],[],0,False,0.0,False,False,False,False,False,[],0.0,False,False,0.0,0.0,"[1, 'YourCompany']",2.0,False,False,False,False,False,[],[],[],[],True,none,[],[],[],[],True,False,0.0,False,False,"[2, 'Benelux (USD)']",False,False,False,[],False,Flooring Services,False,False,False,[],0.0,10.0,False,"[89, 'S00063 - Flooring Services']",[],[],False,True,2.0,False,[],5600.0,840.0,6440.0,False
